ExperimentName	Subject	Block	Trial	Category	Condition	Delay	DelayFixation.OffsetTime	DelayFixation.OnsetTime	Distractors	Go.OffsetTime	Go.OnsetTime	Novelty	Relevance	Stim.ACC	Stim.OffsetTime	Stim.OnsetTime	Stim.RT
TRSEscan	122	1	1		Faces					71093	70103						
TRSEscan	122	1	2	Scenes	Faces	4390	77994	73704	0			Novel	Irrelevant	1	73591	73101	940
TRSEscan	122	1	3	Faces	Faces	2390	80986	78696	1			Novel	Relevant	0	78583	78093	1332
TRSEscan	122	1	4	Faces	Faces	2390	83984	81694	0			Novel	Relevant	0	81581	81091	798
TRSEscan	122	1	5	Scenes	Faces	4390	88983	84693	2			Novel	Irrelevant	1	84580	84090	751
TRSEscan	122	1	6	Faces	Faces	6390	95975	89685	1			Repeat	Relevant	1	89572	89082	1775
TRSEscan	122	1	7	Scenes	Faces	6390	102976	96686	1			Repeat	Irrelevant	1	96573	96083	846
TRSEscan	122	1	8	Scenes	Faces	4390	107978	103688	0			Novel	Irrelevant	1	103575	103085	692
TRSEscan	122	1	9	Scenes	Faces	2390	110970	108680	0			Repeat	Irrelevant	1	108567	108077	652
TRSEscan	122	1	10	Faces	Faces	4390	115968	111678	3			Novel	Relevant	0	111565	111075	2182
TRSEscan	122	1	11	Scenes	Faces	6390	122960	116670	1			Repeat	Irrelevant	1	116557	116067	710
TRSEscan	122	1	12	Scenes	Faces	2390	125962	123672	0			Novel	Irrelevant	1	123559	123069	780
TRSEscan	122	1	13	Faces	Faces	4390	130960	126670	2			Repeat	Relevant	1	126557	126067	854
TRSEscan	122	1	14	Scenes	Faces	2390	133952	131662	1			Repeat	Irrelevant	1	131549	131059	774
TRSEscan	122	1	15	Scenes	Faces	6390	140951	134661	0			Novel	Irrelevant	1	134548	134058	559
TRSEscan	122	1	16	Faces	Faces	6390	147952	141662	2			Repeat	Relevant	1	141549	141059	566
TRSEscan	122	1	17	Faces	Faces	2390	150954	148664	0			Novel	Relevant	0	148551	148061	0
TRSEscan	122	1	18	Faces	Faces	4390	155953	151663	0			Repeat	Relevant	1	151550	151060	133
TRSEscan	122	1	19	Scenes	Faces	2390	158944	156654	3			Novel	Irrelevant	1	156542	156052	652
TRSEscan	122	1	20	Faces	Faces	6390	165943	159653	1			Novel	Relevant	1	159540	159050	1102
TRSEscan	122	1	21	Faces	Faces	4390	170945	166655	0			Novel	Relevant	1	166542	166052	844
TRSEscan	122	2	1		Scenes					203458	202468						
