Subject,Condition,StimACC,StimRT
1401,Irrelevant Scenes,1,909
1401,Relevant Faces,1,1118
1401,Relevant Faces,1,862
1401,Irrelevant Scenes,0,0
1401,Relevant Faces,1,870
1401,Irrelevant Scenes,0,1031
1401,Irrelevant Scenes,1,871
1401,Irrelevant Scenes,1,928
1401,Relevant Faces,1,912
1401,Irrelevant Scenes,1,815
1401,Irrelevant Scenes,1,1104
1401,Relevant Faces,1,1136
1401,Irrelevant Scenes,1,880
1401,Irrelevant Scenes,1,977
1401,Relevant Faces,1,937
1401,Relevant Faces,1,954
1401,Relevant Faces,1,754
1401,Irrelevant Scenes,1,946
1401,Relevant Faces,1,947
1401,Relevant Faces,1,778
1401,Relevant Scenes,1,1197
1401,Irrelevant Faces,1,1165
1401,Irrelevant Faces,1,981
1401,Relevant Scenes,1,1004
1401,Irrelevant Faces,1,1109
1401,Relevant Scenes,1,789
1401,Relevant Scenes,1,950
1401,Relevant Scenes,1,726
1401,Irrelevant Faces,1,974
1401,Relevant Scenes,1,943
1401,Relevant Scenes,1,1039
1401,Irrelevant Faces,1,1008
1401,Relevant Scenes,1,672
1401,Relevant Scenes,1,968
1401,Irrelevant Faces,1,896
1401,Irrelevant Faces,1,920
1401,Irrelevant Faces,1,600
1401,Relevant Scenes,1,1049
1401,Irrelevant Faces,1,1049
1401,Irrelevant Faces,1,938
1401,Categorize Scenes,1,539
1401,Categorize Faces,1,547
1401,Categorize Faces,1,532
1401,Categorize Scenes,1,836
1401,Categorize Faces,1,548
1401,Categorize Scenes,1,573
1401,Categorize Scenes,1,797
1401,Categorize Scenes,1,582
1401,Categorize Faces,1,622
1401,Categorize Scenes,1,829
1401,Categorize Scenes,1,806
1401,Categorize Faces,1,1190
1401,Categorize Scenes,1,630
1401,Categorize Scenes,1,775
1401,Categorize Faces,1,919
1401,Categorize Faces,1,896
1401,Categorize Faces,1,592
1401,Categorize Scenes,1,816
1401,Categorize Faces,1,1184
1401,Categorize Faces,1,769
1401,Both Scenes,1,821
1401,Both Faces,1,942
1401,Both Faces,1,814
1401,Both Scenes,1,757
1401,Both Faces,1,661
1401,Both Scenes,1,766
1401,Both Scenes,1,703
1401,Both Scenes,1,1231
1401,Both Faces,1,887
1401,Both Scenes,1,767
1401,Both Scenes,1,816
1401,Both Faces,1,896
1401,Both Scenes,0,1425
1401,Both Scenes,1,912
1401,Both Faces,1,816
1401,Both Faces,1,897
1401,Both Faces,1,905
1401,Both Scenes,1,849
1401,Both Faces,1,898
1401,Both Faces,1,890
1401,Irrelevant Faces,1,754
1401,Irrelevant Faces,1,794
1401,Relevant Scenes,1,898
1401,Irrelevant Faces,1,531
1401,Irrelevant Faces,1,827
1401,Irrelevant Faces,1,682
1401,Relevant Scenes,1,1139
1401,Relevant Scenes,1,731
1401,Irrelevant Faces,1,971
1401,Relevant Scenes,1,843
1401,Relevant Scenes,1,1092
1401,Irrelevant Faces,1,916
1401,Relevant Scenes,1,765
1401,Relevant Scenes,1,1229
1401,Relevant Scenes,1,646
1401,Irrelevant Faces,1,726
1401,Relevant Scenes,1,717
1401,Irrelevant Faces,1,902
1401,Irrelevant Faces,1,854
1401,Relevant Scenes,1,878
1401,Categorize Faces,1,664
1401,Categorize Faces,1,576
1401,Categorize Scenes,1,625
1401,Categorize Faces,1,785
1401,Categorize Faces,1,898
1401,Categorize Faces,1,538
1401,Categorize Scenes,1,810
1401,Categorize Scenes,1,795
1401,Categorize Faces,1,683
1401,Categorize Scenes,1,763
